Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,Cond
1,ER,6.08,22.56,17.49,Q4
2,ER,5.07,24.83,18.29,Q4
3,ER,5.83,24.7,18.74,Q4
4,ER,5.13,24.62,17.93,Q4
5,ER,4.73,22.98,17.75,Q3
6,ER,5.4,24.53,18.72,Q4
7,ER,5.06,23.26,18.56,Q4
8,ER,4.61,24.24,17.34,Q3
9,ER,4.3,24.18,18.04,Q2
10,ER,5.36,24.67,18.89,Q4
11,ER,5.93,25.43,19.05,Q4
12,ER,4.88,26.96,16.64,Q3
13,ER,2.95,23.94,13.74,Q1
14,ER,4.96,25.11,17.8,Q3
15,ER,4.3,24.46,16.39,Q2
16,ER,5.22,24.88,18.78,Q4
17,ER,4.99,23.79,17.52,Q4
18,ER,3.96,24.63,16.04,Q1
19,ER,5.52,25.5,18.71,Q4
20,ER,4.7,24.07,17.49,Q3
21,ER,5.33,24.07,18.49,Q4
22,ER,4.75,24.11,18.05,Q3
23,ER,4.76,23.83,17.62,Q3
24,ER,5.77,24.75,18.8,Q4
25,ER,5.04,23.24,18.76,Q4
26,ER,4.51,24.36,16.47,Q3
27,ER,5.43,24.48,18.35,Q4
28,ER,5.68,24.78,18.86,Q4
29,ER,5.3,23.85,18.91,Q4
30,ER,5.85,26.13,18.6,Q4
31,ER,4.42,23.76,16.45,Q2
32,ER,5.38,24.58,18.23,Q4
33,ER,4.96,23.45,17.75,Q3
34,ER,4.81,24.11,17.84,Q3
35,ER,4.18,22.81,17.78,Q2
36,ER,3.98,24.81,16.31,Q1
37,ER,4.84,24.89,17.46,Q3
38,ER,4.34,24.88,16.83,Q2
39,ER,5.22,26.11,18.11,Q4
40,ER,5.08,24.01,18.09,Q4
41,ER,4.48,24.58,16.84,Q2
42,ER,5.58,23.47,19.37,Q4
43,ER,3.5,22.78,15.8,Q1
44,ER,4.96,24.07,18.13,Q3
45,ER,5.57,25.67,18.53,Q4
46,ER,5.37,23.89,18.88,Q4
47,ER,4.58,24.26,17.33,Q3
48,ER,2.93,21.69,14.52,Q1
49,ER,3.96,23.69,16.72,Q1
50,ER,5.1,25.98,18.52,Q4
51,ER,5.72,24.96,19.21,Q4
52,ER,4.35,22.76,17.16,Q2
53,ER,4.48,25.83,17.29,Q2
54,ER,4.82,24.86,17.09,Q3
55,ER,4.88,24.87,17.11,Q3
56,ER,4.57,24.34,17.2,Q3
57,ER,5.34,25.29,18.39,Q4
58,ER,3.52,21.2,16.16,Q1
59,ER,4.55,23.78,17.18,Q3
60,ER,4.45,24.59,18.01,Q2
61,ER,4.44,23.56,17.7,Q2
